name,value,year,lastValue,rank
California,4457.969122,2017,4457.969122,1
California,4224.86062,2013,4224.86062,1
California,4157.952585,2012,4157.952585,1
California,4111.264308,2011,4111.264308,1
California,4037.822058,2009,4037.822058,1
California,3984.62727,1993,3984.62727,1
California,3973.869677,1990,3973.869677,1
California,3927.92443,1991,3927.92443,1
California,3912.625447,1994,3912.625447,1
California,3904.484234,2008,3904.484234,1
California,3895.701022,2007,3895.701022,1
California,3854.703904,1995,3854.703904,1
California,3824.443458,2006,3824.443458,1
California,3704.650309,2005,3704.650309,1
California,3651.534235,2003,3651.534235,1
California,3611.602814,1997,3611.602814,1
California,3583.699207,1998,3583.699207,1
Texas,3580.827064,2015,3580.827064,1
California,3513.777614,2002,3513.777614,1
California,3469.211426,2001,3469.211426,1
California,3425.026248,1999,3425.026248,1
Texas,3373.891528,2013,3373.891528,21
Texas,3275.044648,2012,3275.044648,21
Florida,3241.931443,2015,3241.931443,7
Texas,3164.486828,2011,3164.486828,22
Texas,3050.971547,2009,3050.971547,22
Florida,3020.458973,2012,3020.458973,25
Florida,3018.8011,2013,3018.8011,27
Florida,3002.012009,2011,3002.012009,26
Florida,2972.047497,2009,2972.047497,26
Texas,2951.960066,2008,2951.960066,22
Florida,2939.048615,2008,2939.048615,23
Texas,2837.530575,2007,2837.530575,23
Florida,2837.341662,2007,2837.341662,24
Florida,2771.412156,2006,2771.412156,23
Texas,2705.114396,2006,2705.114396,24
Florida,2675.678232,2005,2675.678232,24
Texas,2627.534127,2005,2627.534127,25
Florida,2585.595838,2004,2585.595838,1
Texas,2541.495039,2003,2541.495039,26
Florida,2529.942574,2003,2529.942574,27
Texas,2516.271026,2002,2516.271026,24
Texas,2435.823781,1994,2435.823781,35
Texas,2432.170724,2001,2432.170724,25
Florida,2432.162188,2001,2432.162188,26
Texas,2428.489551,1993,2428.489551,41
Texas,2403.914325,1992,2403.914325,1
Texas,2400.985437,1996,2400.985437,1
Texas,2385.081098,1995,2385.081098,38
Texas,2377.037037,1990,2377.037037,44
Texas,2373.332543,1991,2373.332543,44
Texas,2364.575831,1997,2364.575831,37
Florida,2353.379699,2000,2353.379699,1
Texas,2344.991069,2000,2344.991069,2
Texas,2331.031719,1998,2331.031719,39
Florida,2294.089358,1995,2294.089358,45
Texas,2286.585535,1999,2286.585535,37
Florida,2278.984848,1998,2278.984848,42
Florida,2268.971239,1999,2268.971239,39
Florida,2258.725408,1997,2258.725408,45
Florida,2254.671845,1996,2254.671845,14
Florida,2195.216211,1993,2195.216211,57
Florida,2173.64978,1990,2173.64978,57
Florida,2131.030836,1991,2131.030836,57
Florida,2124.408963,1992,2124.408963,19
Pennsylvania,1972.383841,2015,1972.383841,49
Pennsylvania,1884.79531,2011,1884.79531,64
Pennsylvania,1880.7445,2013,1880.7445,67
Pennsylvania,1858.662116,2012,1858.662116,67
New York,1829.357229,2011,1829.357229,67
New York,1811.642072,2012,1811.642072,69
New York,1793.227224,2017,1793.227224,72
New York,1790.027868,2013,1790.027868,72
Pennsylvania,1779.040077,2010,1779.040077,1
New York,1773.297828,2015,1773.297828,58
Pennsylvania,1761.754498,2009,1761.754498,72
New York,1755.28535,1990,1755.28535,71
New York,1737.157454,1991,1737.157454,71
Ohio,1735.179148,2015,1735.179148,62
Pennsylvania,1720.289262,2008,1720.289262,71
New York,1704.470655,1992,1704.470655,35
New York,1682.955072,1993,1682.955072,77
Pennsylvania,1671.990963,2006,1671.990963,71
Pennsylvania,1667.683066,1993,1667.683066,79
Pennsylvania,1662.47685,2007,1662.47685,75
Pennsylvania,1657.522197,1995,1657.522197,75
Pennsylvania,1656.185072,1997,1656.185072,72
Pennsylvania,1655.860884,1996,1655.860884,41
Pennsylvania,1644.827678,2005,1644.827678,76
Pennsylvania,1643.43643,1994,1643.43643,82
Pennsylvania,1639.562078,1992,1639.562078,45
New York,1631.153,2008,1631.153,83
Ohio,1628.073564,2013,1628.073564,92
Pennsylvania,1627.524841,1990,1627.524841,88
Pennsylvania,1624.398515,1991,1624.398515,88
Ohio,1610.974166,2011,1610.974166,93
Ohio,1605.771692,2012,1605.771692,95
New York,1591.190525,2007,1591.190525,88
Pennsylvania,1573.400138,2002,1573.400138,81
Pennsylvania,1568.542484,2004,1568.542484,62
New York,1568.180314,1995,1568.180314,90
Pennsylvania,1565.10014,2003,1565.10014,88
Ohio,1555.635048,2010,1555.635048,30
Pennsylvania,1551.909983,2000,1551.909983,52
Pennsylvania,1546.053354,1998,1546.053354,89
New York,1545.807547,2006,1545.807547,94
Pennsylvania,1544.088417,2001,1544.088417,88
Ohio,1541.748448,2009,1541.748448,104
Ohio,1536.440796,2008,1536.440796,100
New York,1521.377655,1997,1521.377655,95
Michigan,1519.605053,2015,1519.605053,94
New York,1505.819812,2001,1505.819812,93
New York,1504.060439,1999,1504.060439,93
New York,1501.826706,1998,1501.826706,98
New York,1500.758587,2005,1500.758587,102
New York,1495.765214,2002,1495.765214,98
New York,1482.165422,2000,1482.165422,65
Ohio,1478.012109,2007,1478.012109,108
New York,1475.698385,2004,1475.698385,81
New York,1469.273903,2003,1469.273903,106
North Carolina,1459.944112,2017,1459.944112,121
Ohio,1449.301862,2006,1449.301862,110
Ohio,1446.635644,2005,1446.635644,110
Michigan,1444.433972,2011,1444.433972,121
Michigan,1415.782701,2010,1415.782701,52
Ohio,1401.96581,2004,1401.96581,88
Illinois,1398.045409,2012,1398.045409,125
North Carolina,1391.707703,2014,1391.707703,1
Ohio,1378.558574,2002,1378.558574,111
Michigan,1372.364801,2009,1372.364801,126
Ohio,1371.790542,1991,1371.790542,124
Ohio,1370.855968,2003,1370.855968,118
Arizona,1368.48631,2016,1368.48631,1
Ohio,1366.566008,1990,1366.566008,128
Arizona,1359.288394,2018,1359.288394,1
Michigan,1359.02852,2008,1359.02852,127
North Carolina,1345.565149,2013,1345.565149,136
Ohio,1341.887376,1992,1341.887376,92
North Carolina,1330.546433,2012,1330.546433,137
Georgia,1329.526445,2014,1329.526445,13
Illinois,1328.458364,1990,1328.458364,135
Ohio,1324.448071,1995,1324.448071,131
Illinois,1317.797342,1991,1317.797342,136
Ohio,1316.288632,1993,1316.288632,139
Ohio,1309.135378,2000,1309.135378,93
North Carolina,1299.176987,2011,1299.176987,143
Ohio,1295.002853,1996,1295.002853,100
Ohio,1295.001853,1997,1295.001853,133
Illinois,1288.764602,1994,1288.764602,141
Illinois,1286.663823,1992,1286.663823,104
Michigan,1285.530307,2005,1285.530307,138
Ohio,1283.682692,1998,1283.682692,136
Arizona,1273.529668,2014,1273.529668,26
Arizona,1266.986071,2013,1266.986071,153
North Carolina,1265.289451,2010,1265.289451,82
Michigan,1264.352042,2002,1264.352042,138
Illinois,1256.460259,1995,1256.460259,146
Michigan,1248.209495,2004,1248.209495,120
Illinois,1245.337485,2007,1245.337485,149
Michigan,1241.031433,2003,1241.031433,146
Arizona,1233.137967,2012,1233.137967,159
Illinois,1232.061592,2002,1232.061592,144
Michigan,1226.171769,2001,1226.171769,144
Michigan,1223.135076,1993,1223.135076,159
Illinois,1222.801788,2006,1222.801788,153
Michigan,1222.645535,1994,1222.645535,158
Illinois,1215.706265,2005,1215.706265,154
Michigan,1214.989977,1991,1214.989977,161
Illinois,1211.360446,2001,1211.360446,150
Georgia,1210.927291,2010,1210.927291,97
Illinois,1210.082182,1996,1210.082182,124
Michigan,1208.070032,1990,1208.070032,166
Michigan,1202.157933,1995,1202.157933,162
Illinois,1200.719654,2003,1200.719654,160
Michigan,1196.896434,2000,1196.896434,123
Illinois,1191.618528,1998,1191.618528,160
Illinois,1188.881586,1999,1188.881586,157
Michigan,1188.082484,1996,1188.082484,131
Michigan,1186.829576,1992,1186.829576,133
Michigan,1185.16685,1997,1185.16685,165
Virginia,1183.60806,2015,1183.60806,164
Arizona,1182.088175,2011,1182.088175,179
Illinois,1178.956031,2000,1178.956031,131
North Carolina,1172.235776,2006,1172.235776,172
Colorado,1170.098336,2016,1170.098336,53
Arizona,1157.498436,2010,1157.498436,113
Georgia,1149.880924,2008,1149.880924,178
Washington,1141.788044,2016,1141.788044,56
Tennessee,1134.167978,2014,1134.167978,62
Arizona,1132.964012,2009,1132.964012,186
Tennessee,1128.343953,2015,1128.343953,174
Virginia,1127.048191,2013,1127.048191,191
Georgia,1124.015045,2007,1124.015045,183
Colorado,1123.63345,2018,1123.63345,60
Washington,1114.020899,2014,1114.020899,68
North Carolina,1107.253211,2005,1107.253211,183
Indiana,1103.801528,2017,1103.801528,197
Arizona,1098.348269,2007,1098.348269,188
Virginia,1096.023775,2011,1096.023775,196
Tennessee,1095.899656,2012,1095.899656,198
Georgia,1090.752798,2006,1090.752798,189
Arizona,1090.422752,2008,1090.422752,193
Arizona,1087.541751,2006,1087.541751,191
North Carolina,1085.988892,2004,1085.988892,166
Tennessee,1083.999336,2011,1083.999336,202
Colorado,1077.76202,2014,1077.76202,79
Missouri,1071.565442,2015,1071.565442,190
North Carolina,1066.418194,2003,1066.418194,194
Indiana,1061.370047,2013,1061.370047,208
Tennessee,1056.310472,2009,1056.310472,206
Virginia,1040.871748,2009,1040.871748,207
Virginia,1036.455979,2008,1036.455979,203
North Carolina,1034.119169,2001,1034.119169,194
Georgia,1032.17092,2003,1032.17092,200
Arizona,1028.155224,2005,1028.155224,202
Colorado,1027.154659,2013,1027.154659,215
Tennessee,1024.91243,2008,1024.91243,208
Indiana,1024.202078,2011,1024.202078,215
Colorado,1021.670503,2012,1021.670503,217
North Carolina,1018.369359,2000,1018.369359,168
Georgia,1015.272025,2002,1015.272025,203
Georgia,1013.579165,2001,1013.579165,203
Washington,1013.086747,2009,1013.086747,219
Tennessee,1005.352176,2007,1005.352176,214
Virginia,1002.500545,2007,1002.500545,215
Colorado,998.8990638,2011,998.8990638,223
Tennessee,997.1321697,2006,997.1321697,215
Maryland,994.4546674,2016,994.4546674,96
Georgia,985.6055058,2000,985.6055058,177
Washington,980.6353175,2008,980.6353175,221
Tennessee,972.5182139,2005,972.5182139,218
Georgia,972.0813399,1996,972.0813399,185
Virginia,971.4499662,2006,971.4499662,221
North Carolina,960.7621458,1998,960.7621458,218
Missouri,960.4329403,2010,960.4329403,162
Colorado,959.6741218,2009,959.6741218,232
Arizona,954.7340339,2004,954.7340339,199
Georgia,949.6677179,1995,949.6677179,227
Indiana,948.8995901,2006,948.8995901,227
Virginia,948.1591535,2005,948.1591535,227
North Carolina,945.6193472,1997,945.6193472,226
North Carolina,944.5098518,1996,944.5098518,195
Georgia,943.908536,1993,943.908536,238
Colorado,941.1424163,2010,941.1424163,171
Tennessee,940.3154277,2004,940.3154277,207
Indiana,939.4889635,2007,939.4889635,236
Arizona,938.0884871,2003,938.0884871,233
North Carolina,932.9014947,1994,932.9014947,240
Georgia,931.5556804,1994,931.5556804,241
Georgia,930.4338338,1990,930.4338338,244
Georgia,926.7380642,1991,926.7380642,244
Virginia,925.5159391,2003,925.5159391,238
Arizona,923.6543302,2002,923.6543302,235
Colorado,923.5940324,2008,923.5940324,245
Missouri,918.9086598,2008,918.9086598,246
Washington,917.7451699,2006,917.7451699,244
North Carolina,916.8876129,1993,916.8876129,252
Georgia,913.5187851,1992,913.5187851,212
Tennessee,912.3454783,2003,912.3454783,245
North Carolina,907.6541399,1990,907.6541399,254
Washington,905.1017913,2005,905.1017913,248
Maryland,902.6430883,1995,902.6430883,251
Indiana,897.3241459,2005,897.3241459,250
Virginia,895.3130948,2002,895.3130948,246
North Carolina,892.8310949,1991,892.8310949,258
North Carolina,891.0980006,1992,891.0980006,220
Virginia,886.3633131,1995,886.3633131,256
Virginia,885.333098,1996,885.333098,221
Virginia,884.9395083,1993,884.9395083,264
Tennessee,882.5723505,2002,882.5723505,252
Virginia,881.0310201,1994,881.0310201,263
Washington,879.5825654,2003,879.5825654,258
Washington,879.3942977,1996,879.3942977,226
Colorado,878.0383125,2007,878.0383125,264
Maryland,877.7746329,1996,877.7746329,228
Arizona,877.1781158,2001,877.1781158,257
Virginia,874.8496774,1997,874.8496774,262
Washington,874.1973935,2002,874.1973935,260
Wisconsin,873.0907608,2015,873.0907608,262
Indiana,872.5986955,2003,872.5986955,266
Virginia,872.2730517,1998,872.2730517,265
Washington,872.2603259,2004,872.2603259,244
Virginia,870.6102183,1991,870.6102183,276
Virginia,870.4891908,2001,870.4891908,265
Virginia,870.0467677,2000,870.0467677,233
Virginia,867.4371173,1990,867.4371173,280
Maryland,864.7022212,1994,864.7022212,279
Alabama,864.5849124,2016,864.5849124,156
Virginia,863.9397822,1999,863.9397822,269
Washington,860.4616753,1995,860.4616753,279
Missouri,859.3508685,2007,859.3508685,281
Arizona,856.1203312,2000,856.1203312,240
Maryland,855.570414,1998,855.570414,277
Tennessee,853.23647,2001,853.23647,275
Alabama,849.8887723,2015,849.8887723,278
Washington,844.7070363,1997,844.7070363,281
Tennessee,843.8239844,2000,843.8239844,245
Colorado,840.3695121,2006,840.3695121,286
Missouri,839.785874,2005,839.785874,286
Arizona,839.2241274,1998,839.2241274,284
Arizona,836.5366137,1999,836.5366137,281
Colorado,836.4707308,2005,836.4707308,289
Washington,836.4424131,2000,836.4424131,251
Washington,836.2082357,1998,836.2082357,288
Washington,835.1645269,1994,835.1645269,297
Arizona,832.9366757,1996,832.9366757,259
Indiana,832.4799507,2001,832.4799507,288
Washington,826.879084,2001,826.879084,289
Alabama,826.5415626,2014,826.5415626,182
Arizona,824.9762381,1995,824.9762381,299
Washington,824.4967066,1993,824.4967066,306
Wisconsin,824.4775442,2011,824.4775442,309
Arizona,823.5475867,1997,823.5475867,298
Massachusetts,823.0257791,1994,823.0257791,306
Massachusetts,822.7878963,1995,822.7878963,304
Wisconsin,821.1414714,2012,821.1414714,314
Maryland,820.840269,2012,820.840269,315
Tennessee,820.5548593,1999,820.5548593,298
Indiana,816.5616015,2000,816.5616015,267
Alabama,816.0608271,2012,816.0608271,318
Indiana,810.6331439,1995,810.6331439,310
Colorado,810.2671955,2003,810.2671955,308
Tennessee,808.6009946,1998,808.6009946,307
Maryland,808.2801714,2009,808.2801714,320
Colorado,808.0491526,2004,808.0491526,287
Massachusetts,807.6803565,1996,807.6803565,279
Arizona,806.3194299,1994,806.3194299,319
Missouri,805.8326824,1995,805.8326824,317
Indiana,805.0846318,1994,805.0846318,321
Massachusetts,805.0725399,1992,805.0725399,284
Tennessee,804.2816608,1997,804.2816608,316
Indiana,804.1699821,1998,804.1699821,316
Massachusetts,802.6923186,1993,802.6923186,328
Wisconsin,802.1390684,2010,802.1390684,261
Indiana,801.1502561,1991,801.1502561,328
Missouri,798.7949904,2002,798.7949904,318
Colorado,797.9625344,2002,797.9625344,319
Maryland,797.8735818,2011,797.8735818,335
Missouri,797.851852,2003,797.851852,325
Alabama,796.8709165,2011,796.8709165,337
Indiana,795.2097118,1993,795.2097118,336
Indiana,795.0007115,1997,795.0007115,327
Washington,792.7679161,1992,792.7679161,297
Massachusetts,792.5186883,1997,792.5186883,329
Indiana,792.339317,1999,792.339317,325
Washington,791.2687986,1990,791.2687986,340
Maryland,788.982153,2006,788.982153,335
Missouri,788.0404539,2001,788.0404539,329
Missouri,785.9738261,1996,785.9738261,302
Alabama,784.374643,2010,784.374643,277
Tennessee,784.1142103,1995,784.1142103,340
Oregon,781.9181052,2016,781.9181052,220
Maryland,781.0086767,2000,781.0086767,301
Wisconsin,780.9877176,2007,780.9877176,344
Oklahoma,780.1802077,2016,780.1802077,223
Indiana,780.1421454,1990,780.1421454,350
New Jersey,779.240047,2013,779.240047,356
Washington,778.8681004,1991,778.8681004,351
New Jersey,778.585701,2014,778.585701,232
Tennessee,778.554731,1996,778.554731,313
Maryland,777.694848,2003,777.694848,347
Maryland,777.3604969,1992,777.3604969,316
Maryland,776.5693303,2010,776.5693303,290
Indiana,776.2947767,1992,776.2947767,318
Arizona,776.0215292,1993,776.0215292,360
Massachusetts,775.5991606,1998,775.5991606,350
South Carolina,772.8878878,2015,772.8878878,350
Wisconsin,771.9711092,2008,771.9711092,359
Colorado,771.6336764,2001,771.6336764,350
Maryland,770.5062405,2002,770.5062405,352
Wisconsin,770.2538264,2009,770.2538264,367
Oregon,769.6163991,2014,769.6163991,245
Missouri,768.8940315,2000,768.8940315,321
Missouri,768.5400762,1991,768.5400762,367
Missouri,768.1028947,1993,768.1028947,370
New Jersey,765.092671,2012,765.092671,374
Maryland,764.3448497,2001,764.3448497,358
Maryland,763.6636292,2004,763.6636292,340
Oklahoma,762.2397071,2014,762.2397071,252
Alabama,759.2588617,2008,759.2588617,371
Massachusetts,757.5199242,1990,757.5199242,375
Missouri,753.9261952,1992,753.9261952,336
Missouri,753.8232301,1990,753.8232301,377
New Jersey,753.3628601,2011,753.3628601,381
Minnesota,752.2562862,2015,752.2562862,368
Tennessee,750.8776333,1993,750.8776333,381
Massachusetts,750.8186802,1991,750.8186802,380
Tennessee,748.6553886,1994,748.6553886,380
Oregon,738.9266711,2013,738.9266711,388
Alabama,735.1390214,2007,735.1390214,380
Wisconsin,735.1063137,2006,735.1063137,379
Massachusetts,735.0049943,2016,735.0049943,260
Alabama,734.0163792,2006,734.0163792,381
South Carolina,732.8056659,2014,732.8056659,267
Maryland,730.1858673,1991,730.1858673,388
Oregon,730.10388,2012,730.10388,394
Oklahoma,728.7345176,2012,728.7345176,395
Maryland,727.2252068,1990,727.2252068,392
Minnesota,724.302056,2014,724.302056,272
Tennessee,723.1832391,1992,723.1832391,354
Colorado,723.0855181,1995,723.0855181,390
Tennessee,721.7440145,1990,721.7440145,396
Oregon,721.6092576,2011,721.6092576,400
Massachusetts,721.5249958,2002,721.5249958,386
Oklahoma,720.9722177,2011,720.9722177,402
Kentucky,719.4774248,2010,719.4774248,333
Massachusetts,718.9166692,2001,718.9166692,388
Arizona,716.2030428,1992,716.2030428,362
New Jersey,715.7846862,2006,715.7846862,397
Colorado,715.6268564,2000,715.6268564,358
Colorado,712.5294435,1996,712.5294435,364
Colorado,712.4061068,1994,712.4061068,404
Tennessee,711.7735629,1991,711.7735629,406
South Carolina,710.5041391,2013,710.5041391,413
New Jersey,710.0245667,1994,710.0245667,407
Wisconsin,709.9266388,2003,709.9266388,402
Massachusetts,709.5498903,2003,709.5498903,403
New Jersey,709.350252,1995,709.350252,407
Colorado,706.8306079,1998,706.8306079,403
Wisconsin,705.8430983,2002,705.8430983,402
Oregon,703.9608332,2009,703.9608332,417
Massachusetts,703.8537638,2000,703.8537638,370
Minnesota,702.438181,2011,702.438181,420
Colorado,702.2704052,1997,702.2704052,409
Oregon,698.2954318,2010,698.2954318,352
Arizona,695.9379126,1991,695.9379126,419
Oklahoma,695.8981713,2010,695.8981713,354
Wisconsin,694.7451454,2004,694.7451454,390
Massachusetts,693.0228908,2018,693.0228908,295
Wisconsin,685.8297576,2001,685.8297576,411
Alabama,685.3523895,2005,685.3523895,418
South Carolina,685.0712404,2012,685.0712404,430
New Jersey,684.6755845,2001,684.6755845,414
New Jersey,684.5862501,2005,684.5862501,421
New Jersey,683.3747611,2003,683.3747611,421
New Jersey,683.3179786,2002,683.3179786,418
New Jersey,681.8938036,1993,681.8938036,432
New Jersey,680.3143878,2000,680.3143878,386
Minnesota,679.8069601,2010,679.8069601,366
Oklahoma,679.2223896,2009,679.2223896,436
South Carolina,678.638019,2011,678.638019,438
Arizona,678.3938113,1990,678.3938113,436
Kentucky,676.0304491,2007,676.0304491,433
Oregon,673.2406744,2008,673.2406744,435
New Jersey,672.959643,2004,672.959643,407
Louisiana,671.9434808,2018,671.9434808,312
New Jersey,671.6897226,1999,671.6897226,427
Oregon,670.5878059,2007,670.5878059,438
Massachusetts,669.4771033,2004,669.4771033,411
Colorado,669.4369857,1993,669.4369857,445
New Jersey,669.1829508,1992,669.1829508,405
Wisconsin,668.3813622,2000,668.3813622,400
Kentucky,668.1693435,2006,668.1693435,441
Alabama,667.1458269,2004,667.1458269,416
Utah,667.036449,2016,667.036449,323
Wisconsin,666.0402148,1990,666.0402148,450
New Jersey,665.7518677,1998,665.7518677,441
Wisconsin,661.270139,1993,661.270139,453
New Jersey,661.224391,1990,661.224391,453
Wisconsin,661.1794423,1996,661.1794423,413
New Jersey,659.0359194,1991,659.0359194,454
Wisconsin,658.8130441,1998,658.8130441,446
Wisconsin,658.1717939,1994,658.1717939,455
Wisconsin,657.2472339,1999,657.2472339,444
Wisconsin,654.3035679,1995,654.3035679,454
Alabama,651.3835486,2003,651.3835486,452
Wisconsin,650.9555917,1997,650.9555917,452
Massachusetts,645.7135404,2009,645.7135404,464
Oregon,645.2990535,2006,645.2990535,457
Minnesota,645.2823316,2008,645.2823316,461
Louisiana,644.7712278,2005,644.7712278,458
Louisiana,643.8698141,2012,643.8698141,470
Wisconsin,643.6589604,1991,643.6589604,466
Kentucky,643.0613959,2005,643.0613959,461
Massachusetts,643.0405394,2010,643.0405394,402
South Carolina,637.8890971,2009,637.8890971,472
Alabama,637.0655238,1995,637.0655238,466
Colorado,636.2202689,1991,636.2202689,471
Louisiana,635.4073404,2010,635.4073404,406
Wisconsin,634.6132579,1992,634.6132579,434
Alabama,634.1733624,2002,634.1733624,463
Oregon,632.4878833,2005,632.4878833,469
Alabama,632.3175939,1999,632.3175939,463
Alabama,632.2525313,2000,632.2525313,432
Kentucky,629.8698504,2004,629.8698504,447
Colorado,629.4688355,1992,629.4688355,440
Louisiana,629.1634197,2008,629.1634197,478
Kentucky,628.5640809,2003,628.5640809,474
Utah,628.2892478,2014,628.2892478,362
Alabama,627.0444599,1997,627.0444599,475
Alabama,627.0025471,1998,627.0025471,475
Alabama,626.8222269,1996,626.8222269,445
Alabama,622.2640019,2001,622.2640019,474
Minnesota,621.382442,2006,621.382442,482
Louisiana,621.3313464,2004,621.3313464,457
South Carolina,621.0124523,2008,621.0124523,487
Massachusetts,618.6810113,2008,618.6810113,488
Alabama,617.0862885,1994,617.0862885,490
Louisiana,614.7551548,2006,614.7551548,487
Oregon,613.270732,2003,613.270732,486
Utah,610.4338081,2013,610.4338081,500
Oregon,604.6728478,2004,604.6728478,464
Louisiana,604.4551207,2003,604.4551207,489
Alabama,604.2085961,1993,604.2085961,499
Louisiana,604.114301,1993,604.114301,500
Utah,602.6587815,2012,602.6587815,504
South Carolina,601.6008714,2007,601.6008714,497
Louisiana,601.2454119,1994,601.2454119,500
Louisiana,598.2426301,1991,598.2426301,502
Colorado,598.190774,1990,598.190774,504
Nevada,598.0530595,2014,598.0530595,384
Oklahoma,597.8380161,2006,597.8380161,500
Oregon,597.0375202,2002,597.0375202,495
Louisiana,595.4750635,1992,595.4750635,468
Louisiana,595.243211,1990,595.243211,509
Arkansas,594.3487219,2015,594.3487219,499
Alabama,593.0287729,1991,593.0287729,510
Louisiana,592.3456685,1995,592.3456685,507
Louisiana,592.2001775,2002,592.2001775,501
Louisiana,592.073371,1996,592.073371,473
Oklahoma,591.7530349,2005,591.7530349,508
Oregon,590.3296668,1998,590.3296668,506
Arkansas,590.2824119,2016,590.2824119,391
Nevada,589.3357323,2013,589.3357323,523
Kentucky,589.2953463,2001,589.2953463,506
Oregon,588.6030021,1996,588.6030021,479
Alabama,587.8148826,1992,587.8148826,481
Louisiana,586.8877122,1997,586.8877122,513
South Carolina,586.1835695,2006,586.1835695,517
Utah,582.2911187,2011,582.2911187,527
Arkansas,580.8321754,2017,580.8321754,531
Louisiana,577.4429448,1998,577.4429448,516
Louisiana,577.1665065,2001,577.1665065,514
Minnesota,576.6086976,2003,576.6086976,520
Nevada,576.5123576,2012,576.5123576,533
Minnesota,575.9662064,2004,575.9662064,498
Louisiana,575.434415,2000,575.434415,485
Alabama,575.3129558,1990,575.3129558,532
Minnesota,574.1217637,2002,574.1217637,521
Oregon,572.3701157,1997,572.3701157,525
Oregon,571.8663445,2001,571.8663445,522
Oregon,571.6847431,1995,571.6847431,531
Kentucky,567.9959497,2000,567.9959497,491
